AX,CODES
5PGX,0040
5PFX,0041
5PFX,0042
5PFX,0043
5PJX,0055
5PJX,0063
5PJX,0064
5PJX,0065
5PCX,0066
8PCX,0070
8PCX,0071
8PCX,0072
8PCX,0073
8PDX,0080
8PDX,0081
8PDX,0082
8PDX,0083
8PDX,0084
8PCX,0085
8PCX,0086
8PCX,0087
15PCX,0109
17PBX,0111
1PBX,0111
17PBX,0113
1PBX,0113
15PBX,0114
15PBX,0115
15PBX,0123
15PBX,0124
15PBX,0125
15PBX,0131
15PBX,0139
15PBX,0151
15PBX,0159
15PBX,0202
15PBX,0206
15PBX,0211
15PBX,0212
15PBX,022
15PBX,0231
15PBX,0232
15PBX,0233
15PBX,0234
15PBX,0239
15PBX,0242
15PBX,0243
15PBX,0299
15PBX,0301
15PBX,0309
15PBX,031
15PBX,0329
15PCX,0331
15PBX,0332
15PCX,0339
15PBX,034
15PBX,0351
15PBX,0352
15PBX,0359
15PBX,0398
3PDX,0403
15PCX,0404
3PDX,0404
3PDX,0405
3PDX,0406
3PDX,0407
1PBX,0411
17PBX,0411
3PDX,0412
3PDX,0419
15PBX,043
3PDX,0441
3PDX,0442
3PDX,0449
15PBX,045
15PCX,046
3PDX,0471
3PDX,0472
3PDX,0473
3PDX,0474
3PDX,0475
15PBX,0476
3PDX,0476
15PBX,0479
3PDX,0492
3PDX,0493
3PDX,0499
3PDX,0521
3PDX,0522
3PDX,066
15PBX,067
15PBX,0721
15PBX,0722
2PCX,0811
2PCX,0820
2PCX,0821
2PCX,0822
2PCX,0823
2PCX,0824
2PCX,0825
2PCX,0831
2PCX,0832
2PCX,0833
2PCX,0834
2PCX,0835
2PCX,0836
2PCX,0837
2PCX,0838
2PCX,0841
2PCX,0842
2PCX,0843
2PCX,0849
2PCX,0851
15PCX,0852
2PCX,0852
2PCX,0859
2PCX,0861
2PCX,0862
2PCX,0863
2PCX,0864
2PCX,0869
2PCX,0870
15PCX,0871
2PCX,0871
2PCX,0872
2PCX,0873
2PCX,0874
15PCX,0881
2PCX,0881
2PCX,0882
2PCX,0883
2PCX,0884
2PCX,0885
2PCX,0886
2PCX,0887
2PCX,0889
2PCX,0891
2PCX,0892
2PCX,0893
2PCX,0899
2PCX,090
2PCX,0911
2PCX,0912
2PCX,0919
2PCX,0920
2PCX,0921
2PCX,0922
2PCX,0923
2PCX,093
2PCX,0941
2PCX,0942
3PDX,0943
15PCX,0943
2PCX,0943
2PCX,0944
2PCX,0949
2PCX,0951
2PCX,0952
2PCX,0953
2PCX,0959
2PCX,096
2PCX,0971
2PCX,0972
2PCX,0973
2PCX,0981
2PCX,0982
2PCX,0983
2PCX,0991
2PCX,0999
2PCX,100
2PCX,101
15PCX,1021
2PCX,1021
2PCX,1029
2PCX,1031
2PCX,1032
2PCX,1033
15PCX,1033
2PCX,1041
2PCX,1042
2PCX,1043
2PCX,1044
2PCX,1049
2PCX,105
2PCX,106
2PCX,1091
15PCX,1091
2PCX,1099
2PCX,110
2PCX,111
2PCX,1121
2PCX,1122
2PCX,1129
15PCX,1129
2PCX,1131
2PCX,1132
2PCX,1139
2PCX,1141
2PCX,1142
2PCX,1143
2PCX,1149
2PCX,1151
2PCX,1152
2PCX,1153
2PCX,1159
15PBX,1160
2PCX,1175
2PCX,1179
2PCX,1191
2PCX,1192
2PCX,1199
2PCX,1200
2PCX,1201
2PCX,1202
2PCX,1211
2PCX,1212
2PCX,1213
2PCX,1214
2PCX,1221
15PCX,1221
2PCX,1222
2PCX,1229
2PCX,1231
2PCX,1232
2PCX,1233
2PCX,1234
2PCX,1235
2PCX,1239
2PCX,1240
2PCX,1241
15PCX,1241
2PCX,1242
2PCX,1243
2PCX,1244
2PCX,1251
2PCX,1252
2PCX,1253
15PCX,1254
2PCX,1254
2PCX,1255
2PCX,1259
2PCX,1261
2PCX,1262
2PCX,1263
15PCX,1264
2PCX,1264
2PCX,1265
2PCX,1266
15PCX,1266
2PCX,1269
2PCX,1271
2PCX,1272
15PCX,1273
2PCX,1273
2PCX,1274
2PCX,1279
2PCX,1281
2PCX,1282
2PCX,1283
2PCX,1284
2PCX,1285
2PCX,1286
2PCX,1287
2PCX,1288
2PCX,1289
15PCX,1291
2PCX,1291
2PCX,1292
2PCX,1293
