code,mdc,pdc,cc,maincc,ccrow,hiv_ax,trauma,sex,accpdx,ageduse,agemin,agemax,agedmin
F1226,20,20F,0,,0,,N,B,Y,N,0,124,0
T245,22,22C,0,,0,,N,B,Y,N,0,124,0
S764,08,8C,0,,0,,0,B,Y,N,0,124,0
F6030,19,19H,0,,0,,N,B,Y,N,0,124,0
D355,01,1C,0,,0,,N,B,Y,N,0,124,0
M2529,08,8R,0,,0,,N,B,Y,N,0,124,0
M7963,08,8L,0,,0,,N,B,Y,N,0,124,0
M457,08,8F,0,,0,,N,B,Y,N,16,124,0
M0225,08,8J,0,,0,,N,B,Y,N,0,124,0
Q963,12,12E,0,,0,,N,B,Y,N,0,124,0
M8960,08,8R,0,,0,,N,B,Y,N,0,124,0
Q859,17,17C,0,,0,,N,B,Y,N,0,124,0
N832,13,13F,0,,0,,N,F,Y,N,0,124,0
D215,08,8R,0,,0,,N,B,Y,N,0,124,0
M9418,08,8R,0,,0,,N,B,Y,N,0,124,0
I446,05,5M,0,,0,,N,B,Y,N,0,124,0
A672,18,18H,0,,0,,N,B,Y,N,0,124,0
D432,01,1C,0,,0,,N,B,Y,N,0,124,0
I738,05,5F,0,,0,,N,B,Y,N,0,124,0
Q936,19,19K,0,,0,,N,B,Y,N,0,124,0
T980,30,,0,,0,,N,B,N,N,0,124,0
M2323,08,8Q,0,,0,,N,B,Y,N,0,124,0
G588,01,1J,0,,0,,N,B,Y,N,0,124,0
D314,02,2D,0,,0,,N,B,Y,N,0,124,0
D313,02,2D,0,,0,,N,B,Y,N,0,124,0
S82202,08,8Q,0,,0,,0,B,Y,N,0,124,0
A64,12,12C,0,,0,,N,B,Y,N,1,124,0
M5392,08,8H,0,,0,,N,B,Y,N,0,124,0
B508,18,18C,0,,0,,N,B,Y,N,0,124,0
T0281,21,21A,0,,0,,8,B,Y,N,0,124,0
D303,11,11C,0,,0,,N,B,Y,N,0,124,0
R17,07,7D,0,,0,,N,B,Y,N,0,124,0
D301,11,11C,0,,0,,N,B,Y,N,0,124,0
B338,18,18F,0,,0,,N,B,Y,N,0,124,0
M5418,01,1J,0,,0,E,N,B,Y,N,0,124,0
S828,08,8Q,0,,0,,0,B,Y,N,0,124,0
P148,15,,0,,0,,N,B,Y,N,0,0,0
F409,19,19F,0,,0,,N,B,Y,N,0,124,0
M2369,08,8Q,0,,0,,N,B,Y,N,0,124,0
D291,12,12E,0,,0,,N,M,Y,N,0,124,0
M8590,08,8R,0,,0,,N,B,Y,N,0,124,0
D289,13,13F,0,,0,,N,F,Y,N,0,124,0
M7314,08,8M,0,,0,,N,B,N,N,0,124,0
D282,13,13F,0,,0,,N,F,Y,N,0,124,0
S308,09,9H,0,,0,,0,B,Y,N,0,124,0
Z582,23,23D,0,,0,,N,B,Y,N,0,124,0
M999,30,,0,,0,,N,B,N,N,0,124,0
M4897,08,8H,0,,0,,N,B,Y,N,0,124,0
D261,13,13F,0,,0,,N,F,Y,N,0,124,0
K0538,03,3H,0,,0,,N,B,Y,Y,0,124,28
D259,13,13F,0,,0,,N,F,Y,N,0,124,0
M4118,08,8H,0,,0,,N,B,Y,N,0,124,0
M5496,08,8H,0,,0,,N,B,Y,N,0,124,0
L940,09,9D,0,,0,,N,B,Y,N,0,124,0
M9390,08,8J,0,,0,,N,B,Y,N,0,124,0
G628,01,1J,0,,0,,N,B,Y,N,0,124,0
D237,09,9D,0,,0,,N,B,Y,N,0,124,0
M4310,08,8H,0,,0,,N,B,Y,N,0,124,0
K598,06,6H,0,,0,,N,B,Y,N,0,124,0
M4126,08,8H,0,,0,,N,B,Y,N,0,124,0
Q632,11,11H,0,,0,,N,B,Y,N,0,124,0
T400,21,21C,0,,0,,N,B,Y,N,0,124,0
M2434,08,8P,0,,0,,N,B,Y,N,0,124,0
Q676,04,4Q,0,,0,,N,B,Y,N,0,124,0
M5398,08,8H,0,,0,,N,B,Y,N,0,124,0
M8685,08,8D,0,,0,,N,B,Y,N,0,124,0
T628,21,21C,0,,0,,N,B,Y,N,0,124,0
D222,09,9D,0,,0,,N,B,Y,N,0,124,0
M5322,08,8H,0,,0,,N,B,Y,N,0,124,0
Z874,30,,0,,0,,N,B,N,N,0,124,0
P390,15,,0,,0,,N,B,Y,N,0,0,0
Q048,01,1U,0,,0,,N,B,Y,N,0,124,0
F1001,20,20A,0,,0,,N,B,Y,N,0,124,0
D214,08,8R,0,,0,,N,B,Y,N,0,124,0
D213,08,8R,0,,0,,N,B,Y,N,0,124,0
B699,06,6L,0,,0,,N,B,Y,N,0,124,0
A879,01,1L,0,,0,B,N,B,Y,N,0,124,0
A560,13,13D,0,,0,,N,B,Y,N,0,124,0
P528,15,,0,,0,,N,B,Y,N,0,0,0
M9922,30,,0,,0,,N,B,N,N,0,124,0
M1012,21,21C,0,,0,,N,B,Y,N,0,124,0
D759,16,16C,0,,0,,N,B,Y,N,0,124,0
O981,14,14B,0,,0,,N,F,Y,N,9,60,0
A282,18,18H,0,,0,,N,B,Y,N,0,124,0
M1030,08,8J,0,,0,,N,B,Y,N,0,124,0
M6266,08,8M,0,,0,,N,B,Y,N,0,124,0
S3230,08,8B,0,,0,,6,B,Y,N,0,124,0
P729,15,,0,,0,,N,B,Y,N,0,0,0
T620,21,21C,0,,0,,N,B,Y,N,0,124,0
L858,09,9D,0,,0,,N,B,Y,N,0,124,0
J322,03,3D,0,,0,,N,B,Y,N,0,124,0
Q688,08,8R,0,,0,,N,B,Y,N,0,124,0
M4907,08,8D,0,,0,,N,B,N,N,0,124,0
Z046,23,23D,0,,0,,N,B,Y,N,0,124,0
D175,06,6J,0,,0,,N,B,Y,N,0,124,0
F028,19,19K,0,,0,,N,B,N,N,0,124,0
S447,01,1J,0,,0,,0,B,Y,N,0,124,0
M8026,08,8E,0,,0,,N,B,Y,N,0,124,0
C767,17,17C,0,,0,,N,B,Y,N,0,124,0
D399,13,13A,0,,0,,N,F,Y,N,0,124,0
A638,12,12C,0,,0,,N,B,Y,N,1,124,0
A831,01,1K,0,,0,,N,B,Y,N,0,124,0
M142,08,8J,0,,0,,N,B,N,N,0,124,0
M8028,08,8E,0,,0,,N,B,Y,N,0,124,0
D487,17,17C,0,,0,,N,B,Y,N,0,124,0
F0284,19,19K,0,,0,,N,B,N,N,0,124,0
M0759,08,8J,0,,0,,N,B,N,N,16,124,0
M7955,08,8R,0,,0,,N,B,Y,N,0,124,0
Z8922,30,,0,,0,,N,B,N,N,0,124,0
D164,08,8R,0,,0,,N,B,Y,N,0,124,0
Z834,23,23D,0,,0,,N,B,Y,N,0,124,0
P285,15,,0,,0,,N,B,Y,N,0,0,0
M2469,08,8J,0,,0,,N,B,Y,N,0,124,0
E283,13,13F,0,,0,,N,F,Y,N,0,124,0
S52201,08,8P,0,,0,,0,B,Y,N,0,124,0
K620,06,6J,0,,0,,N,B,Y,N,0,124,0
M7220,08,8M,0,,0,,N,B,Y,N,0,124,0
G959,01,1U,0,,0,,N,B,Y,N,0,124,0
E079,10,10E,0,,0,,N,B,Y,N,0,124,0
D143,04,4M,0,,0,,N,B,Y,N,0,124,0
Z348,30,,0,,0,,N,F,N,N,9,60,0
K904,06,6H,0,,0,,N,B,Y,N,0,124,0
Z8963,30,,0,,0,,N,B,N,N,0,124,0
F688,19,19H,0,,0,,N,B,Y,N,0,124,0
M2353,08,8R,0,,0,,N,B,Y,N,0,124,0
M0582,08,8F,0,,0,,N,B,Y,N,16,124,0
T520,21,21C,0,,0,,N,B,Y,N,0,124,0
D133,06,6J,0,,0,,N,B,Y,N,0,124,0
K002,03,3H,0,,0,,N,B,Y,Y,0,124,28
D131,06,6J,0,,0,,N,B,Y,N,0,124,0
P924,15,,0,,0,,N,B,Y,N,0,0,0
D280,13,13F,0,,0,,N,F,Y,N,0,124,0
N738,13,13E,0,,0,,N,F,Y,N,0,124,0
C4100,08,8E,0,,0,,N,B,Y,N,0,124,0
M8116,08,8J,0,,0,,N,F,Y,N,1,124,0
D125,06,6J,0,,0,,N,B,Y,N,0,124,0
P299,15,,0,,0,,N,B,Y,N,0,0,0
M8682,08,8D,0,,0,,N,B,Y,N,0,124,0
F721,19,19K,0,,0,,N,B,Y,N,0,124,0
P201,15,,0,,0,,N,B,Y,N,0,0,0
Q421,06,6J,0,,0,,N,B,Y,N,0,124,0
R895,18,18H,0,,0,,N,B,Y,N,0,124,0
M0364,08,8J,0,,0,,N,B,N,N,0,124,0
N433,12,12E,0,,0,,N,M,Y,N,0,124,0
O301,14,14B,0,,0,,N,F,Y,N,9,60,0
R090,04,4Q,0,,0,,N,B,Y,N,0,124,0
S0251,03,3H,0,,0,,0,B,Y,N,0,124,0
M7960,08,8L,0,,0,,N,B,Y,N,0,124,0
D041,02,2E,0,,0,,N,B,Y,N,0,124,0
S52508,08,8P,0,,0,,0,B,Y,N,0,124,0
C510,13,13A,0,,0,,N,F,Y,N,0,124,0
R234,09,9D,0,,0,,N,B,Y,N,0,124,0
M8002,08,8E,0,,0,,N,F,Y,N,31,124,0
M8947,08,8J,0,,0,,N,B,Y,N,0,124,0
M2312,08,8Q,0,,0,,N,B,Y,N,0,124,0
Z576,23,23D,0,,0,,N,B,Y,N,0,124,0
Z092,23,23C,0,,0,,N,B,Y,N,0,124,0
R961,23,23D,0,,0,,N,B,Y,N,0,124,0
D103,03,3H,0,,0,,N,B,Y,N,0,124,0
D102,03,3H,0,,0,,N,B,Y,N,0,124,0
M1303,08,8K,0,,0,,N,B,Y,N,0,124,0
M0148,08,8J,0,,0,,N,B,N,N,0,124,0
T115,08,8Q,0,,0,,0,B,Y,N,0,124,0
T096,21,21A,0,,0,,0,B,Y,N,0,124,0
A669,18,18H,0,,0,,N,B,Y,N,0,124,0
D1010,03,3H,0,,0,,N,B,Y,N,0,124,0
I7020,05,5F,0,,0,,N,B,Y,N,1,124,0
Z899,30,,0,,0,,N,B,N,N,0,124,0
Z233,23,23D,0,,0,,N,B,Y,N,0,124,0
K0888,03,3H,0,,0,,N,B,Y,Y,0,124,28
S445,01,1J,0,,0,,0,B,Y,N,0,124,0
M2584,08,8L,0,,0,,N,B,Y,N,0,124,0
D1003,03,3H,0,,0,,N,B,Y,N,0,124,0
M7088,08,8M,0,,0,,N,B,Y,N,0,124,0
O432,14,14B,0,,0,,N,F,Y,N,9,60,0
M9087,08,8J,0,,0,,N,B,N,N,0,124,0
H360,02,2D,0,,0,,N,B,N,N,0,124,0
D093,17,17C,0,,0,,N,B,Y,N,0,124,0
S72411,08,8A,0,,0,,8,B,Y,N,0,124,0
E258,10,10E,0,,0,,N,B,Y,N,0,124,0
S52309,08,8P,0,,0,,0,B,Y,N,0,124,0
Q684,08,8R,0,,0,,N,B,Y,N,0,124,0
D075,12,12A,0,,0,,N,M,Y,N,0,124,0
M0313,08,8J,0,,0,,N,B,N,N,0,124,0
Q742,08,8R,0,,0,,N,B,Y,N,0,124,0
L604,09,9D,0,,0,,N,B,Y,N,0,124,0
I451,05,5M,0,,0,,N,B,Y,N,0,124,0
R731,23,23B,0,,0,,N,B,Y,N,0,124,0
D067,13,13B,0,,0,,N,F,Y,N,0,124,0
