code,validcode,description
A00,0,Cholera
A000,1,"Cholera due to Vibrio cholerae 01, biovar cholerae"
A001,1,"Cholera due to Vibrio cholerae 01, biovar eltor"
A009,1,"Cholera, unspecified"
A01,0,Typhoid and paratyphoid fevers
A010,1,Typhoid fever
A011,1,Paratyphoid fever A
A012,1,Paratyphoid fever B
A013,1,Paratyphoid fever C
A014,1,"Paratyphoid fever, unspecified"
A02,0,Other salmonella infections
A020,1,Salmonella enteritis
A021,1,Salmonella sepsis
A022,1,Localized salmonella infections
A028,1,Other specified salmonella infections
A029,1,"Salmonella infection, unspecified"
A03,0,Shigellosis
A030,1,Shigellosis due to Shigella dysenteriae
A031,1,Shigellosis due to Shigella flexneri
A032,1,Shigellosis due to Shigella boydii
A033,1,Shigellosis due to Shigella sonnei
A038,1,Other shigellosis
A039,1,"Shigellosis, unspecified"
A04,0,Other bacterial intestinal infections
A040,1,Enteropathogenic Escherichia coli infection
A041,1,Enterotoxigenic Escherichia coli infection
A042,1,Enteroinvasive Escherichia coli infection
A043,1,Enterohaemorrhagic Escherichia coli infection
A044,1,Other intestinal Escherichia coli infections
A045,1,Campylobacter enteritis
A046,1,Enteritis due to Yersinia enterocolitica
A047,1,Enterocolitis due to Clostridium difficile
A048,1,Other specified bacterial intestinal infections
A049,1,"Bacterial intestinal infection, unspecified"
A05,0,Other bacterial foodborne intoxications
A050,1,Foodborne staphylococcal intoxication
A051,1,Botulism
A052,1,Foodborne Clostridium perfringens [Clostridium welchii] intoxication
A053,1,Foodborne Vibrio parahaemolyticus intoxication
A054,1,Foodborne Bacillus cereus intoxication
A058,1,Other specified bacterial foodborne intoxications
A059,1,"Bacterial foodborne intoxication, unspecified"
A06,0,Amoebiasis
A060,1,Acute amoebic dysentery
A061,1,Chronic intestinal amoebiasis
A062,1,Amoebic nondysenteric colitis
A063,1,Amoeboma of intestine
A064,1,Amoebic liver abscess
A065,1,Amoebic lung abscess (J99.8*)
A066,1,Amoebic brain abscess (G07*)
A067,1,Cutaneous amoebiasis
A068,1,Amoebic infection of other sites
A069,1,"Amoebiasis, unspecified"
A07,0,Other protozoal intestinal diseases
A070,1,Balantidiasis
A071,1,Giardiasis [lambliasis]
A072,1,Cryptosporidiosis
A073,1,Isosporiasis
A078,1,Other specified protozoal intestinal diseases
A079,1,"Protozoal intestinal disease, unspecified"
A08,0,Viral and other specified intestinal infections
A080,1,Rotaviral enteritis
A081,1,Acute gastroenteropathy due to Norovirus
A082,1,Adenoviral enteritis
A083,1,Other viral enteritis
A084,1,"Viral intestinal infection, unspecified"
A085,1,Other specified intestinal infections
A09,1,Other gastroenteritis and colitis of infectious and unspecified origin
A090,1,Other and unspecified gastroenteritis and colitis of infectious origin
A099,1,Gastroenteritis and colitis of unspecified origin
A15,0,"Respiratory tuberculosis, bacteriologically and histologically confirmed"
A150,1,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
A151,1,"Tuberculosis of lung, confirmed by culture only"
A152,1,"Tuberculosis of lung, confirmed histologically"
A153,1,"Tuberculosis of lung, confirmed by unspecified means"
A154,1,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
A155,1,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
A156,1,"Tuberculous pleurisy, confirmed bacteriologically and histologically"
A157,1,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically"
A158,1,"Other respiratory tuberculosis, confirmed bacteriologically and histologically"
A159,1,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically"
A16,0,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
A160,1,"Tuberculosis of lung, bacteriologically and histologically negative"
A161,1,"Tuberculosis of lung, bacteriological and histological examination not done"
A162,1,"Tuberculosis of lung, without mention of bacteriological or histological confirmation"
A163,1,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation"
A164,1,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"
A165,1,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation"
A167,1,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation
A168,1,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation"
A169,1,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"
A17,0,Tuberculosis of nervous system
A170,1,Tuberculous meningitis (G01*)
A171,1,Meningeal tuberculoma (G07*)
A178,1,Other tuberculosis of nervous system
A179,1,"Tuberculosis of nervous system, unspecified (G99.8*)"
A18,0,Tuberculosis of other organs
A180,1,Tuberculosis of bones and joints
A181,1,Tuberculosis of genitourinary system
